Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
27/01/2015,48326.62,4558.96,3718.99,10661.88,10628.58,26150.41,59931.4,264.98
28/01/2015,48375.04,4531.88,3669.1,10631.28,10710.97,26192.58,60063.14,264.99
29/01/2015,48520.54,4576.86,3704.35,10678.51,10737.87,25913.65,59420.61,263.15
30/01/2015,48684.64,4540.83,3656.28,10615.84,10694.32,26013.99,59206.09,262.54
2/02/2015,49007.15,4584.86,3703.77,10669.85,10828.01,25844.18,59152.2,263.31
3/02/2015,49721.74,4629.49,3757.34,10785.66,10890.95,25517.13,59321.41,263.07
4/02/2015,50331.37,4621.9,3742.84,10828.08,10911.32,26021.84,59623.33,264.35
5/02/2015,50624.39,4662.92,3782.11,10844.24,10905.41,25765.55,59830.45,262.44
6/02/2015,50704.49,4633.02,3770.2,10815.93,10846.39,25977.33,59622.43,262.84
9/02/2015,50660.15,4619.22,3754.36,10723.83,10663.51,26070.69,59239.8,261.89
10/02/2015,50536,4691.09,3794.62,10826.59,10753.83,25983.48,59274.38,260.21
12/02/2015,50072.25,4764.9,3833.35,10897.03,10919.65,26464.86,59018.34,260.27
13/02/2015,51239.53,4804.53,3849.29,10973.47,10963.4,26367.18,59647.61,262.42
17/02/2015,51187.89,4808.67,3856.04,10961.11,10895.62,26475.71,59894.91,263.06
23/02/2015,51651.91,4879.03,3874.46,11210.82,11130.92,27181.99,60020.28,263.51
24/02/2015,51885.35,4880.86,3885.27,11266.48,11205.74,27383,59810.78,264.01
25/02/2015,52160.57,4869.62,3882.95,11256.75,11210.27,27369.59,59878.96,265.78
26/02/2015,51847.2,4893.46,3877.85,11322.24,11327.19,27664.99,60180.73,265.75
27/02/2015,52038.06,4869.77,3866.42,11416.45,11401.66,27682.88,59990.35,264.21
2/03/2015,52329.18,4916.91,3890.32,11337.69,11410.36,27725.5,60152.38,266.51
3/03/2015,52130.59,4890.29,3872.71,11226.85,11280.36,27708.24,59706.07,267.4
4/03/2015,51888.93,4875.63,3856.51,11337.76,11390.38,27543.95,59132.26,267.2
5/03/2015,51920.4,4883.02,3861.29,11444.19,11504.01,27614.99,58622.49,267.04
6/03/2015,51887.15,4825.08,3807.04,11446.13,11550.97,27937.74,58552.11,268.93
9/03/2015,51205.35,4840.6,3822.42,11383.53,11582.11,27672,58465.54,265.58
10/03/2015,51234.41,4748.56,3757.83,11256.14,11500.38,27487.27,57917.62,264.51
11/03/2015,51066.42,4722.91,3751.2,11523.14,11805.99,27573.29,57527.27,264.94
12/03/2015,51569.92,4756.84,3799.43,11499.11,11799.39,27967.36,57731.95,262.96
13/03/2015,51258.86,4733.44,3776.44,11552.44,11901.61,28354.87,57793.2,264.96
16/03/2015,51128,4794.4,3827.62,11669.32,12167.72,28342.81,58126.8,265.23
17/03/2015,51520.11,4800.06,3814.91,11595.01,11980.85,28624,58010.16,271.26
18/03/2015,51555.54,4851.57,3861.39,11605.38,11922.77,28782.97,58545.21,271.3
19/03/2015,52512.7,4856.31,3842.62,11614.05,11899.4,28682.94,59391.87,272.11
20/03/2015,52731.27,4891.1,3877.26,11730.03,12039.37,28806.15,59164.55,271.81
23/03/2015,52561.88,4876.85,3870.49,11669,11895.84,29092.06,59454.04,272.07
24/03/2015,52677.07,4860.88,3847.05,11752.31,12005.69,29031.81,59223.68,272.29
25/03/2015,52720.68,4749.39,3791.13,11596.9,11865.32,29081.2,59535.91,272.06
26/03/2015,51890.2,4734.15,3782.21,11563.08,11843.68,28676.21,59460.29,268.96
27/03/2015,52255.66,4753.75,3791.9,11627.08,11868.33,28568.63,59433.87,268.49
